RA3	RA4	RA8	LA3	LA4	LA8	SepA3	SepA4	SepA8	RV3	RV4	RV8	LV3	LV4	LV8	SepV3	SepV4	SepV8	Student's T-test Significant atrium_ventricle	Student's T-test significant	Student's T-test p-value atrium_ventricle	Student's T-test q-value atrium_ventricle	Student's T-test Difference atrium_ventricle	Student's T-test Test statistic atrium_ventricle	Gene names	Protein IDs	Majority protein IDs	Protein names
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	T	T	T	T
#!{C:heart region}RA	RA	RA	LA	LA	LA	SepA	SepA	SepA	RV	RV	RV	LV	LV	LV	SepV	SepV	SepV										
#!{C:heart chamber}atrium	atrium	atrium	atrium	atrium	atrium	atrium	atrium	atrium	ventricle	ventricle	ventricle	ventricle	ventricle	ventricle	ventricle	ventricle	ventricle										
28.77737	30.82176	29.5993	29.92705	31.0747	29.71321	29.2049	30.88736	30.15882	30.10049	30.58127	27.43317	28.77489	28.38055	28.98057	28.3652	28.66726	28.14321	+	atrium_ventricle	0.011502393421104	0.0446117318435754	1.19309488932292	2.30261807147876	SERPINB6	A0A024QZX5;A0A087X1N8;P35237	A0A024QZX5;A0A087X1N8;P35237	Serpin B6
23.56663	23.14787	23.93292	24.32396	24.39513	25.10538	21.87614	21.03137	23.46998	23.81656	23.30814	23.94539	23.90371	23.53338	23.74735	20.6409	21.29089	24.31838			0.672451806338291	0.769715243817242	0.260519875420464	0.369576924525306	hCG_1994888;DNAJC25	A0A024R161;Q9H1X3-3;F2Z3D1;J3QR79	A0A024R161;Q9H1X3-3	Guanine nucleotide-binding protein subunit gamma;DnaJ homolog subfamily C member 25
30.74815	30.57398	30.48405	30.08081	30.23763	30.22136	29.67383	29.5996	30.91599	29.90785	30.04035	30.01265	29.74908	29.58885	29.79224	29.49555	28.97049	29.37474			0.00457301650491768	0.0578942307692308	0.622621536254883	2.15444133654185	HDLBP	A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;H7BZC3;C9JZI8;C9JHZ8;C9JES8;C9JHS7;C9JT62;C9JK79;C9JBS3;C9JEJ8;A0A0E3D6N3;C9JHN6;C9JMQ6;C9JQ82;C9JHS9;C9J739;H7C3D0	A0A024R4E5;H0Y394	
25.73776	26.8236	26.53903	26.43674	26.93832	27.08324	25.75037	26.56033	27.7337	26.76116	26.37576	26.5213	27.93438	27.7211	28.05672	27.63443	27.10949	27.07511			0.0512589831835276	0.156882072256305	-0.620707194010418	-1.57298313326642	TMEM120A;TMPIT	Q9BXJ8;A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;A0A087WZF4;A0A087WV11	Q9BXJ8;A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2	Transmembrane protein 120A
25.0889	24.50924	23.58038	23.62377	23.81597	24.0141	22.38614	22.74593	25.27707	22.0348	22.9798	22.21617	20.86393	20.51888	20.12476	20.67329	20.8622	20.79165	+	atrium_ventricle	2.24281983201821E-05	0.000840579710144928	2.66400210062663	4.82964913915539	CLN5	O75503;A0A024R644;A0A087WZY0	O75503;A0A024R644;A0A087WZY0	Ceroid-lipofuscinosis neuronal protein 5
20.88863	19.89094	27.8036	24.69445	22.87478	29.89952	25.35303	23.9402	30.24241	21.78261	20.51243	29.47704	20.65587	20.05707	28.84095	20.41082	21.06012	29.92039			0.463332177735413	0.542530924252953	1.43002721998427	0.71387310986345	SERPINA1	A0A024R6I7;A0A0G2JRN3;G3V544;A0A0B4J278;G3V5R8;G3V387;A0A0G2JPK4	A0A024R6I7;A0A0G2JRN3	
29.13533	28.47123	27.97482	28.25687	28.63474	27.78032	28.99189	29.33903	28.74926	30.84236	30.34562	29.06528	30.351	29.86037	30.28162	30.01983	29.71468	29.72654	+	atrium_ventricle	2.39393593177222E-05	0.00228571428571429	-1.43042331271701	-4.15947233941595	CES2	O00748;A0A024R6X1;O00748-2;J3QSC0;J3QLP1;A0A0C4DGH1;Q5XG92-2	O00748;A0A024R6X1;O00748-2;J3QSC0	Cocaine esterase;Carboxylic ester hydrolase
21.03436	23.33033	21.03832	23.52349	22.40764	20.36961	21.62558	20.86599	23.2754	22.50067	22.99291	20.21006	22.5093	21.64394	20.80179	24.48751	22.84491	21.64791			0.686784250821814	0.782501381978994	-0.240920808580185	-0.350839608748175	TCEB3	A0A024RAC6;Q14241	A0A024RAC6;Q14241	Transcription elongation factor B polypeptide 3
